Pais_dest,count
BELGICA,28
CABO VERDE,55
TURQUIA,41
SENEGAL,1
"",347
COREIA DO SUL,9
COSTA RICA,1
CANADA,31
EMIRADOSARABES UNIDOS,75
FRANCA,152
COLOMBIA,320
URUGUAI,249
MARROCOS,34
ALEMANHA,163
EL SALVADOR,1
MEXICO,84
HOLANDA,126
BRASIL,59
CURACAO,3
CHINA,9
ESPANHA,297
ITALIA,154
PORTO RICO,24
LUXEMBURGO,46
SURINAME,17
SUAA‡A,40
ARGENTINA,1691
MARTINICA,5
ANGOLA,31
GUIANA FRANCESA,10
REINO UNIDO,104
REPUBLICA DOMINICANA,109
BOLIVIA,75
TRINIDAD E TOBAGO,1
PARAGUAI,200
ETIOPIA,24
BRASIL,74930
PANAMA,348
CHILE,844
QATAR,44
AFRICA DO SUL,63
ILHAS CANARIAS,1
ISRAEL,13
PORTUGAL,366
ESTADOS UNIDOS DA AMERICA,1211
EQUADOR,149
VENEZUELA,9
PERU,468
